product_id,name,category,price
PROD001,Refined Cotton Sausages,Oils,43.26
PROD002,Rustic Rubber Tuna,Spices,58.85
PROD003,Intelligent Steel Soap,Vinegars,72.19
PROD004,Licensed Concrete Mouse,Dairy,11.96
PROD005,Awesome Metal Computer,Grains,28.77
PROD006,Refined Cotton Bike,Produce,67.11
PROD007,Generic Rubber Salad,Oils,7.63
PROD008,Handmade Frozen Shoes,Spices,9.39
PROD009,Unbranded Steel Gloves,Vinegars,31.75
PROD010,Sleek Frozen Hat,Dairy,50.71
PROD011,Handcrafted Metal Pants,Grains,49.1
PROD012,Licensed Plastic Keyboard,Produce,30.3
PROD013,Handmade Rubber Fish,Oils,64.29
PROD014,Practical Wooden Chips,Spices,74.79
PROD015,Ergonomic Steel Bacon,Vinegars,16.89
PROD016,Incredible Cotton Table,Dairy,21.57
PROD017,Tasty Plastic Car,Grains,53.47
PROD018,Generic Granite Towels,Produce,71.05
PROD019,Gorgeous Soft Chicken,Oils,33.51
PROD020,Ergonomic Concrete Pizza,Spices,60.94
